city,longitude,latitude,code
红河州,103.384065,23.367718,251000
丽江,100.229628,26.875351,250600
临沧,100.092613,23.887806,251800
怒江,98.859932,25.860677,251900
普洱,100.980058,22.788778,251100
曲靖,103.782539,25.520758,250300
昭通,103.725021,27.340633,251300
文山,104.089112,23.401781,251400
西双版纳,100.803038,22.009433,251500
玉溪,102.545068,24.370447,250400
杭州,120.219375,30.259244,080200
湖州,120.137243,30.877925,080900
嘉兴,120.760428,30.773992,080700
金华,119.652576,29.102899,080600
丽水,119.929576,28.4563,081000
宁波,121.579006,29.885259,080300
衢州,118.875842,28.95691,081200
绍兴,120.592467,30.002365,080500
台州,121.440613,28.668283,080800
温州,120.690635,28.002838,080400
舟山,122.169872,30.03601,081100
